ticker,as_of_date,expiration,dte,option_type,strike,bid,ask,mid,mark,volume,open_interest,implied_vol,delta,underlying_price
APP,2025-12-12,2025-12-19,7,call,39.72,29.1014,35.9556,32.5285,32.5285,5,288,0.9012,1.0,72.2179
APP,2025-12-12,2025-12-19,7,call,41.72,27.9779,33.0822,30.5301,30.5301,12,189,0.8962,1.0,72.2179
APP,2025-12-12,2025-12-19,7,call,43.72,25.6266,31.4366,28.5316,28.5316,22,231,0.8912,1.0,72.2179
APP,2025-12-12,2025-12-19,7,call,45.72,24.4737,28.5928,26.5333,26.5333,23,419,0.8862,0.9999,72.2179
APP,2025-12-12,2025-12-19,7,call,47.72,22.3963,26.6742,24.5353,24.5353,28,811,0.8813,0.9997,72.2179
APP,2025-12-12,2025-12-19,7,call,49.72,20.4449,24.6316,22.5382,22.5382,87,686,0.8763,0.9992,72.2179
APP,2025-12-12,2025-12-19,7,call,51.72,18.9692,22.1185,20.5438,20.5438,79,1500,0.8713,0.9977,72.2179
APP,2025-12-12,2025-12-19,7,call,53.72,17.2537,19.8573,18.5555,18.5555,91,1189,0.8663,0.9943,72.2179
APP,2025-12-12,2025-12-19,7,call,55.72,15.2238,17.9358,16.5798,16.5798,151,2086,0.8613,0.9875,72.2179
APP,2025-12-12,2025-12-19,7,call,57.72,13.533,15.7224,14.6277,14.6277,339,1537,0.8563,0.9747,72.2179
APP,2025-12-12,2025-12-19,7,call,59.72,11.754,13.6779,12.7159,12.7159,516,2553,0.8514,0.9532,72.2179
APP,2025-12-12,2025-12-19,7,call,61.72,10.2454,11.489,10.8672,10.8672,416,5041,0.8464,0.92,72.2179
APP,2025-12-12,2025-12-19,7,call,63.72,8.6391,9.5791,9.1091,9.1091,827,7540,0.8414,0.8727,72.2179
APP,2025-12-12,2025-12-19,7,call,65.72,7.0578,7.8861,7.472,7.472,2120,9649,0.8364,0.8102,72.2179
APP,2025-12-12,2025-12-19,7,call,67.72,5.6698,6.2998,5.9848,5.9848,1994,11191,0.8314,0.7333,72.2179
APP,2025-12-12,2025-12-19,7,call,69.72,4.4606,4.8823,4.6715,4.6715,2860,13190,0.8264,0.6449,72.2179
APP,2025-12-12,2025-12-19,7,call,71.72,3.3797,3.7145,3.5471,3.5471,5750,22464,0.8214,0.5495,72.2179
APP,2025-12-12,2025-12-19,7,call,73.72,2.5244,2.7933,2.6589,2.6589,3275,10621,0.8273,0.4539,72.2179
APP,2025-12-12,2025-12-19,7,call,75.72,1.8806,2.0515,1.9661,1.9661,2452,6785,0.8367,0.3654,72.2179
APP,2025-12-12,2025-12-19,7,call,77.72,1.3538,1.5083,1.431,1.431,2542,5139,0.8461,0.2872,72.2179
APP,2025-12-12,2025-12-19,7,call,79.72,0.9653,1.0894,1.0274,1.0274,1799,8794,0.8555,0.2211,72.2179
APP,2025-12-12,2025-12-19,7,call,81.72,0.6769,0.781,0.7289,0.7289,572,4636,0.8649,0.1671,72.2179
APP,2025-12-12,2025-12-19,7,call,83.72,0.4792,0.5451,0.5122,0.5122,633,2047,0.8744,0.1243,72.2179
APP,2025-12-12,2025-12-19,7,call,85.72,0.3346,0.3795,0.357,0.357,500,2013,0.8838,0.0913,72.2179
APP,2025-12-12,2025-12-19,7,call,87.72,0.2276,0.2672,0.2474,0.2474,282,2953,0.8932,0.0663,72.2179
APP,2025-12-12,2025-12-19,7,call,89.72,0.1583,0.183,0.1707,0.1707,82,802,0.9026,0.0477,72.2179
APP,2025-12-12,2025-12-19,7,call,91.72,0.1071,0.1277,0.1174,0.1174,67,1473,0.912,0.0341,72.2179
APP,2025-12-12,2025-12-19,7,call,93.72,0.0742,0.0871,0.0806,0.0806,35,1286,0.9214,0.0243,72.2179
