ticker,as_of_date,expiration,dte,option_type,strike,bid,ask,mid,mark,volume,open_interest,implied_vol,delta,underlying_price
APP,2026-02-13,2026-02-20,7,call,44.86,32.9492,40.5295,36.7394,36.7394,13,105,0.9012,1.0,81.5666
APP,2026-02-13,2026-02-20,7,call,46.86,31.8868,37.595,34.7409,34.7409,15,231,0.8968,1.0,81.5666
APP,2026-02-13,2026-02-20,7,call,48.86,29.8612,35.6238,32.7425,32.7425,21,389,0.8924,1.0,81.5666
APP,2026-02-13,2026-02-20,7,call,50.86,28.4537,33.0344,30.7441,30.7441,27,570,0.888,1.0,81.5666
APP,2026-02-13,2026-02-20,7,call,52.86,26.6725,30.8193,28.7459,28.7459,50,577,0.8835,0.9998,81.5666
APP,2026-02-13,2026-02-20,7,call,54.86,24.6108,28.8856,26.7482,26.7482,40,411,0.8791,0.9996,81.5666
APP,2026-02-13,2026-02-20,7,call,56.86,22.8783,26.6254,24.7519,24.7519,33,797,0.8747,0.9988,81.5666
APP,2026-02-13,2026-02-20,7,call,58.86,21.1919,24.3252,22.7586,22.7586,134,835,0.8703,0.9972,81.5666
APP,2026-02-13,2026-02-20,7,call,60.86,19.2847,22.2582,20.7715,20.7715,209,1220,0.8659,0.9939,81.5666
APP,2026-02-13,2026-02-20,7,call,62.86,17.3492,20.243,18.7961,18.7961,116,1752,0.8615,0.9878,81.5666
APP,2026-02-13,2026-02-20,7,call,64.86,15.5358,18.1465,16.8411,16.8411,376,3201,0.8571,0.9771,81.5666
APP,2026-02-13,2026-02-20,7,call,66.86,13.7554,16.0833,14.9193,14.9193,351,3295,0.8527,0.9599,81.5666
APP,2026-02-13,2026-02-20,7,call,68.86,12.1679,13.9271,13.0475,13.0475,357,5467,0.8482,0.9341,81.5666
APP,2026-02-13,2026-02-20,7,call,70.86,10.6664,11.8263,11.2463,11.2463,1071,3082,0.8438,0.8978,81.5666
APP,2026-02-13,2026-02-20,7,call,72.86,8.9937,10.0842,9.539,9.539,1722,4187,0.8394,0.8498,81.5666
APP,2026-02-13,2026-02-20,7,call,74.86,7.469,8.4294,7.9492,7.9492,1220,7256,0.835,0.79,81.5666
APP,2026-02-13,2026-02-20,7,call,76.86,6.1185,6.8792,6.4988,6.4988,3292,7920,0.8306,0.7193,81.5666
APP,2026-02-13,2026-02-20,7,call,78.86,4.949,5.4618,5.2054,5.2054,3277,12079,0.8262,0.6401,81.5666
APP,2026-02-13,2026-02-20,7,call,80.86,3.8774,4.2824,4.0799,4.0799,3314,19844,0.8218,0.5556,81.5666
APP,2026-02-13,2026-02-20,7,call,82.86,3.0299,3.2958,3.1628,3.1628,5817,12948,0.8256,0.4705,81.5666
APP,2026-02-13,2026-02-20,7,call,84.86,2.3167,2.5424,2.4296,2.4296,3762,6453,0.8339,0.3903,81.5666
APP,2026-02-13,2026-02-20,7,call,86.86,1.7535,1.9316,1.8426,1.8426,1954,9492,0.8423,0.3176,81.5666
APP,2026-02-13,2026-02-20,7,call,88.86,1.2976,1.4654,1.3815,1.3815,1982,5107,0.8506,0.2541,81.5666
