ticker,date,open,high,low,close,volume
APP,2024-11-07,118.6522,136.2434,108.6788,124.6058,9750002
APP,2024-11-08,124.5068,126.8651,123.1663,125.3655,4344157
APP,2024-11-11,123.2756,134.4487,117.4293,127.7187,5369993
APP,2024-11-12,128.0263,144.9554,118.899,134.3157,7486597
APP,2024-11-13,135.2555,139.9697,131.7641,136.0672,5889997
APP,2024-11-14,135.7495,143.0741,131.8765,138.6779,3836623
APP,2024-11-15,139.3597,149.9844,123.9525,133.084,4857333
APP,2024-11-18,136.2595,146.3166,120.074,128.6179,9293866
APP,2024-11-19,127.3312,130.9138,124.2914,127.531,5609385
APP,2024-11-20,129.3896,132.1776,124.5621,127.0254,4875434
APP,2024-11-21,128.0913,131.8416,122.4896,125.8045,5479549
APP,2024-11-22,123.3978,129.2587,118.5619,123.8652,6181523
APP,2024-11-25,124.1462,135.0492,108.4217,117.727,6234808
APP,2024-11-26,118.5952,125.1125,109.5468,115.2468,5446609
APP,2024-11-27,115.931,118.5186,113.1003,115.4189,5721220
APP,2024-11-28,116.507,120.5961,109.8965,113.4811,6145053
APP,2024-11-29,112.5553,125.4822,106.1192,117.9859,6778068
APP,2024-12-02,120.8359,127.1913,110.7075,116.2084,4592677
APP,2024-12-03,118.0626,121.3482,113.3634,116.2756,6239176
APP,2024-12-04,116.407,119.31,114.2299,116.8811,4497244
APP,2024-12-05,118.8693,126.7534,106.9276,113.7156,8336340
APP,2024-12-06,114.3196,116.8431,111.1692,113.4225,5865820
APP,2024-12-09,114.5159,119.6307,106.801,111.274,4658070
APP,2024-12-10,110.5078,119.4606,105.4347,113.6629,7584226
APP,2024-12-11,113.9353,116.1628,111.0518,113.0409,5680994
APP,2024-12-12,111.8277,115.7655,108.2781,111.8219,5642647
APP,2024-12-13,113.1761,117.5118,106.7117,110.5223,5016281
APP,2024-12-16,110.0608,123.3028,91.5603,102.6788,11969169
APP,2024-12-17,106.2645,115.3569,91.69,99.3399,9591350
APP,2024-12-18,97.734,104.297,94.2447,100.3176,4180648
APP,2024-12-19,100.4639,101.4818,99.5327,100.4487,4675368
