ticker,sector,industry,theme_cluster,market_cap,shares_outstanding,is_etf,is_leveraged_etf,is_chinese_adr,next_earnings_date,binary_event_risk
IREN,Information Technology,Bitcoin Mining,BTC Miners,2000000000,185000000,False,False,False,2025-12-06,False
CIFR,Information Technology,Bitcoin Mining,BTC Miners,1400000000,240000000,False,False,False,2025-12-02,False
MARA,Information Technology,Bitcoin Mining,BTC Miners,6200000000,255000000,False,False,False,2025-11-29,False
RIOT,Information Technology,Bitcoin Mining,BTC Miners,4300000000,307000000,False,False,False,2025-11-24,False
CLSK,Information Technology,Bitcoin Mining,BTC Miners,3800000000,215000000,False,False,False,2025-11-30,False
WULF,Information Technology,Bitcoin Mining,BTC Miners,1600000000,222000000,False,False,False,2025-12-08,False
BTDR,Information Technology,Bitcoin Mining,BTC Miners,2600000000,192000000,False,False,True,2025-12-19,False
TSLA,Consumer Discretionary,Auto Manufacturers,EV,705000000000,3200000000,False,False,False,2025-12-12,False
PLTR,Technology,Software - Infrastructure,AI Infra,65000000000,2320000000,False,False,False,2025-12-04,False
APP,Communication Services,Advertising Agencies,Ad Tech,43000000000,365000000,False,False,False,2025-12-01,False
SMR,Industrials,Specialty Industrial Machinery,Nuclear,5100000000,230000000,False,False,False,2025-11-26,False
OKLO,Utilities,Utilities - Regulated Electric,Nuclear,3700000000,142000000,False,False,False,2025-11-22,False
SOUN,Technology,Software - Application,AI Infra,3200000000,355000000,False,False,False,2025-11-28,False
RKLB,Industrials,Aerospace & Defense,Space,9500000000,505000000,False,False,False,2025-12-11,False
HIMS,Healthcare,Health Information Services,Consumer Health,8100000000,225000000,False,False,False,2025-12-03,False
NVDA,Technology,Semiconductors,AI Infra,1980000000000,2450000000,False,False,False,2025-12-05,False
