ticker,as_of_date,expiration,dte,option_type,strike,bid,ask,mid,mark,volume,open_interest,implied_vol,delta,underlying_price
APP,2025-09-12,2025-09-19,7,call,57.56,43.2482,51.023,47.1356,47.1356,10,144,0.9012,1.0,104.6477
APP,2025-09-12,2025-09-19,7,call,60.56,39.9323,48.3435,44.1379,44.1379,11,242,0.896,1.0,104.6477
APP,2025-09-12,2025-09-19,7,call,63.56,38.0024,44.2782,41.1403,41.1403,10,307,0.8909,1.0,104.6477
APP,2025-09-12,2025-09-19,7,call,66.56,34.8414,41.4441,38.1428,38.1428,37,405,0.8857,0.9999,104.6477
APP,2025-09-12,2025-09-19,7,call,69.56,32.4327,37.859,35.1459,35.1459,31,581,0.8806,0.9997,104.6477
APP,2025-09-12,2025-09-19,7,call,72.56,29.6909,34.6107,32.1508,32.1508,73,849,0.8754,0.999,104.6477
APP,2025-09-12,2025-09-19,7,call,75.56,27.25,31.0708,29.1604,29.1604,100,1038,0.8702,0.9972,104.6477
APP,2025-09-12,2025-09-19,7,call,78.56,24.1598,28.2026,26.1812,26.1812,157,1803,0.8651,0.9931,104.6477
APP,2025-09-12,2025-09-19,7,call,81.56,21.3741,25.076,23.225,23.225,324,2883,0.8599,0.9846,104.6477
APP,2025-09-12,2025-09-19,7,call,84.56,18.787,21.837,20.312,20.312,242,2440,0.8548,0.969,104.6477
APP,2025-09-12,2025-09-19,7,call,87.56,16.177,18.7667,17.4719,17.4719,333,3231,0.8496,0.9431,104.6477
APP,2025-09-12,2025-09-19,7,call,90.56,13.8079,15.6801,14.744,14.744,442,2879,0.8444,0.9035,104.6477
APP,2025-09-12,2025-09-19,7,call,93.56,11.492,12.8577,12.1749,12.1749,1529,5832,0.8393,0.8482,104.6477
APP,2025-09-12,2025-09-19,7,call,96.56,9.3175,10.3086,9.8131,9.8131,959,4369,0.8341,0.7767,104.6477
APP,2025-09-12,2025-09-19,7,call,99.56,7.3392,8.0656,7.7024,7.7024,3730,12782,0.829,0.691,104.6477
APP,2025-09-12,2025-09-19,7,call,102.56,5.578,6.1721,5.8751,5.8751,5820,7263,0.8238,0.5951,104.6477
APP,2025-09-12,2025-09-19,7,call,105.56,4.1872,4.5586,4.3729,4.3729,2685,9336,0.8232,0.4952,104.6477
APP,2025-09-12,2025-09-19,7,call,108.56,3.0414,3.4051,3.2233,3.2233,4718,10599,0.8329,0.3999,104.6477
APP,2025-09-12,2025-09-19,7,call,111.56,2.189,2.4793,2.3342,2.3342,3019,10263,0.8426,0.3146,104.6477
APP,2025-09-12,2025-09-19,7,call,114.56,1.5692,1.7592,1.6642,1.6642,891,7431,0.8524,0.2417,104.6477
APP,2025-09-12,2025-09-19,7,call,117.56,1.0996,1.2421,1.1708,1.1708,556,5308,0.8621,0.1819,104.6477
APP,2025-09-12,2025-09-19,7,call,120.56,0.7666,0.8627,0.8147,0.8147,763,3357,0.8719,0.1345,104.6477
APP,2025-09-12,2025-09-19,7,call,123.56,0.5233,0.6002,0.5618,0.5618,151,2726,0.8816,0.098,104.6477
APP,2025-09-12,2025-09-19,7,call,126.56,0.3564,0.413,0.3847,0.3847,226,1101,0.8914,0.0705,104.6477
APP,2025-09-12,2025-09-19,7,call,129.56,0.241,0.2833,0.2621,0.2621,183,1802,0.9011,0.0503,104.6477
APP,2025-09-12,2025-09-19,7,call,132.56,0.1641,0.192,0.178,0.178,180,890,0.9109,0.0355,104.6477
APP,2025-09-12,2025-09-19,7,call,135.56,0.1126,0.1288,0.1207,0.1207,116,955,0.9206,0.025,104.6477
APP,2025-09-12,2025-09-19,7,call,138.56,0.0748,0.0888,0.0818,0.0818,43,386,0.9304,0.0175,104.6477
APP,2025-09-12,2025-09-19,7,call,141.56,0.0499,0.0611,0.0555,0.0555,26,489,0.9401,0.0122,104.6477
APP,2025-09-12,2025-09-19,7,call,144.56,0.0349,0.0449,0.0399,0.0399,24,564,0.9499,0.0086,104.6477
APP,2025-09-12,2025-09-19,7,call,147.56,0.023,0.033,0.028,0.028,15,324,0.9596,0.006,104.6477
APP,2025-09-12,2025-09-19,7,call,150.56,0.0159,0.0259,0.0209,0.0209,6,326,0.9694,0.0042,104.6477
