ticker,date,open,high,low,close,volume
APP,2024-09-05,117.5573,136.4379,107.5321,124.6287,6908514
APP,2024-09-06,125.6726,129.2481,120.5633,123.7316,4687162
APP,2024-09-09,123.4288,132.5508,110.4352,118.3041,5747133
APP,2024-09-10,117.4182,124.8563,113.3514,120.2294,7089659
APP,2024-09-11,118.2209,125.0373,115.029,121.3956,6684380
APP,2024-09-12,117.5362,131.8271,110.5336,123.6422,4347723
APP,2024-09-13,124.4832,127.7103,121.8435,124.7705,3459317
APP,2024-09-16,123.3383,147.16,111.1848,132.6379,6082463
APP,2024-09-17,132.573,142.7113,117.1955,125.8578,6395839
APP,2024-09-18,124.2365,136.8997,117.3939,129.0051,7891291
APP,2024-09-19,128.9885,146.5575,119.267,135.2328,7366240
APP,2024-09-20,136.6157,140.1734,131.3048,134.4561,4416177
APP,2024-09-23,134.4886,147.2748,115.811,126.6476,7864085
APP,2024-09-24,130.3596,136.146,123.2312,128.359,5250395
APP,2024-09-25,126.6033,134.9677,117.4321,124.8562,5461408
APP,2024-09-26,127.5935,130.2703,122.6391,124.9993,4737427
APP,2024-09-27,123.8725,148.0796,111.2936,133.0657,10151727
APP,2024-09-30,131.9655,136.6565,129.0545,133.3872,3683806
APP,2024-10-01,133.5006,145.7717,115.558,125.9799,8627288
APP,2024-10-02,125.0165,128.9513,122.8561,126.5219,5681297
APP,2024-10-03,128.001,129.9851,124.701,126.4653,3818777
APP,2024-10-04,127.1865,136.5256,121.1247,129.6594,6874711
APP,2024-10-07,133.0186,139.6123,121.742,127.4269,8012981
APP,2024-10-08,126.033,143.4015,116.7676,132.5725,5747838
APP,2024-10-09,134.0265,138.5624,129.3287,133.3917,5404618
APP,2024-10-10,129.1474,138.3833,124.2925,132.835,4821166
APP,2024-10-11,130.3091,138.702,121.1483,128.6031,8128217
APP,2024-10-14,127.891,133.8751,124.7313,130.2983,5261925
APP,2024-10-15,128.4151,133.6271,123.7262,128.4171,7098799
APP,2024-10-16,132.2793,140.3801,122.9098,130.0793,5110156
APP,2024-10-17,130.4833,134.0784,127.9756,131.2751,3904404
APP,2024-10-18,130.4691,136.0861,123.2703,128.2392,7229583
APP,2024-10-21,129.3117,137.5457,116.9152,124.0227,4531255
APP,2024-10-22,123.5297,144.1638,112.7018,131.3694,9485316
APP,2024-10-23,129.2977,140.2447,123.7199,133.8299,6063121
APP,2024-10-24,132.9842,139.2419,129.7444,135.572,5426315
APP,2024-10-25,137.127,155.9599,125.6787,142.7207,8149095
APP,2024-10-28,138.9354,152.4986,124.8826,136.9117,6752683
APP,2024-10-29,135.8483,163.822,122.1976,147.3684,7389754
APP,2024-10-30,147.5818,152.6548,144.6042,149.3077,4707850
APP,2024-10-31,152.9943,159.7265,145.1927,151.1797,6172510
